opens,highs,lows,closes,volumes,qavs,numTrades,tbbavs,tbqavs,rsis,obvs,labels
3058.10000000,3078.17000000,3056.55000000,3072.52000000,54.66974000,167664.99937970,156,29.33605000,89988.05769240,76.03160667251964,45.85871999999999,1
3074.51000000,3090.71000000,3067.57000000,3084.20000000,99.57095000,306721.47637890,145,32.32306000,99472.95267810,65.67078836394819,-28.24837999999997,0
3084.20000000,3084.20000000,3067.57000000,3070.14000000,56.38186000,173264.96292150,121,21.55573000,66189.62437540,64.72701655512519,14.101459999999946,0
3068.42000000,3076.16000000,3061.76000000,3069.71000000,46.51578000,142791.79711720,92,14.83439000,45533.23755210,67.01581027667997,-0.5853600000000156,1
3076.19000000,3081.94000000,3070.63000000,3077.14000000,66.24285000,203781.47787350,115,39.45869000,121354.46494090,66.62889896027735,7.867020000000018,1
3074.94000000,3115.82000000,3074.83000000,3113.87000000,158.82119000,491908.95706090,298,68.30265000,211450.55266550,62.86968875113016,-55.97619999999996,0
3109.95000000,3123.16000000,3106.42000000,3111.53000000,101.90820000,317541.14091430,190,42.83954000,133460.66885230,46.07108109654894,-74.89593999999997,1
3109.34000000,3124.22000000,3107.38000000,3120.86000000,91.15752000,283936.90239040,189,52.38649000,163162.80577460,36.961466416911875,-111.95397000000008,1
3121.71000000,3137.25000000,3113.38000000,3127.74000000,139.54089000,436139.07380510,289,73.42000000,229542.57852890,35.72121290489419,-22.807439999999964,1
3130.77000000,3139.37000000,3126.86000000,3138.33000000,85.39953000,267642.94794330,180,34.76973000,108970.99063300,36.47105419499634,12.282649999999983,0
3138.60000000,3141.71000000,3125.09000000,3135.33000000,56.17285000,175973.74617090,142,24.81956000,77751.33250720,22.710172189263254,-220.5706,0
3136.15000000,3136.16000000,3116.76000000,3125.00000000,91.13956000,285102.80926220,162,48.66661000,152268.90475910,25.901935678240395,-89.27133999999998,0
3126.79000000,3132.05000000,3106.29000000,3110.14000000,93.02821000,289953.68462080,154,41.45067000,129179.77165990,26.773353181987147,-42.83497,0
3104.24000000,3106.68000000,3094.92000000,3105.46000000,95.05345000,294805.94112510,211,54.43031000,168800.77444470,31.39470013946997,-5.510289999999998,0
3103.48000000,3105.46000000,3087.12000000,3092.72000000,81.75819000,253296.61969150,181,50.10021000,155292.66500670,33.66980556872826,190.35046999999994,0
3091.16000000,3110.10000000,3086.20000000,3087.30000000,103.48623000,320535.06399230,194,48.46233000,150194.79392000,43.03832368348498,317.2908100000001,1
3086.05000000,3098.75000000,3086.05000000,3095.77000000,64.70816000,200183.57390870,119,44.75327000,138440.46465760,48.88344618930976,475.44678000000016,1
3091.35000000,3116.60000000,3091.35000000,3107.79000000,127.44872000,395758.40023320,227,62.65860000,194562.34333040,40.381295504015476,233.61153000000002,0
3102.20000000,3102.85000000,3096.08000000,3100.92000000,10.98230000,34048.21445690,24,0.00646000,20.02503100,36.852644662339365,175.26206999999997,1
3102.10000000,3130.91000000,3102.10000000,3127.40000000,70.11984000,218542.33331870,140,43.31510000,134885.42044180,41.75793705808942,232.76014999999998,1
3131.05000000,3167.22000000,3130.72000000,3166.01000000,207.30283000,652981.98780340,660,97.34722000,306520.04328660,44.95186926348767,347.1582400000001,1
3163.62000000,3173.66000000,3150.91000000,3166.56000000,115.63944000,365709.31885220,281,58.72887000,185746.53148380,34.00281888653974,255.4002,0
3165.05000000,3169.46000000,3154.73000000,3160.62000000,61.30756000,193862.97896810,124,23.38603000,73927.70044630,35.851393188854466,58.342179999999956,0
3167.65000000,3172.97000000,3128.68000000,3137.17000000,260.20249000,817741.19308220,550,111.18626000,349087.78335550,39.76083707025405,210.80726000000004,1
3137.04000000,3156.90000000,3131.99000000,3151.31000000,73.83448000,231740.03260950,159,31.86976000,100076.86817010,50.334448160535075,610.55064,0
3151.16000000,3156.53000000,3139.53000000,3141.20000000,78.89468000,248165.50127630,120,27.66881000,87040.94971440,45.670784568703915,78.58060999999992,1
3140.00000000,3149.39000000,3140.00000000,3146.92000000,41.33057000,129998.33553720,64,28.03960000,88196.74105920,45.6059455354237,101.30243999999998,1
3151.33000000,3152.55000000,3145.73000000,3151.52000000,14.38294000,45304.35039990,36,10.06360000,31692.61475070,39.503424657534154,-106.2959100000001,0
3150.12000000,3157.95000000,3137.86000000,3138.87000000,4.48408000,14128.99510240,22,1.11111000,3498.93080640,36.849017816354475,-267.6023200000001,1
3139.63000000,3154.59000000,3135.31000000,3150.81000000,21.38964000,67348.16911860,44,12.92281000,40696.69888190,36.816545735016774,-358.1716900000001,0
3150.45000000,3151.28000000,3146.20000000,3146.33000000,6.70962000,21117.22124040,21,0.99783000,3144.13382200,32.50895070228591,-427.50840000000005,0
3148.86000000,3150.49000000,3133.28000000,3137.32000000,11.07069000,34744.99374510,30,0.85440000,2687.32603140,35.76255913494031,-317.3125500000001,0
3130.74000000,3130.74000000,3121.95000000,3129.00000000,23.41507000,73170.47059850,71,8.75678000,27365.73717580,41.54110570037231,-241.53370000000007,0
3129.00000000,3133.83000000,3125.39000000,3125.39000000,9.80569000,30672.86710470,32,0.97855000,3064.33580900,42.022727272727295,-345.56735000000003,1
