time,opens,highs,lows,closes,volumes,qavs,numTrades,tbbavs,tbqavs,rsis,obvs,money,trueAfter,predictionBefore,action,correct,diff
<module 'time' (built-in)>,-0.5817965129483812,-0.5889860572643182,-0.5740200484487082,-0.5759752974553024,0.0796984484389137,0.0472014243603895,-0.5315755678336314,0.6064856219339029,0.5442510373465035,0.3970820205562318,-0.0126801142331379,0.0,-0.5759752974553024,-0.6913636326789856,DONT BUY,[1],-0.11538833522368319
<module 'time' (built-in)>,-0.5818322991230294,-0.5925985828149685,-0.5782441199785446,-0.5905045525887461,-0.3559989111604683,-0.369943936393539,-0.7477100133079069,-0.5312766231782018,-0.5280551019355576,0.3419891854605164,0.1308769600421015,0.0,-0.5905045525887461,-0.6855064034461975,DONT BUY,[1],-0.09500185085745139
<module 'time' (built-in)>,-0.5897410437200901,-0.5980352549307973,-0.582074422128482,-0.5943336912569203,-0.3994560500506423,-0.411499639416487,-0.7477100133079069,-0.4707392228397012,-0.4710552077810113,0.8274458205721872,0.1817786030514568,0.0,-0.5943336912569203,-0.6778261065483093,DONT BUY,[1],-0.08349241529138907
<module 'time' (built-in)>,-0.5997969587959906,-0.6127714977710702,-0.6013333245272305,-0.6115469220923548,-0.1294862532825903,-0.1541902155949355,-0.6516502597637844,-0.4899821274263494,-0.4893324079888135,0.7409027223825978,0.2123913449517259,0.0,-0.6115469220923548,-0.668801486492157,DONT BUY,[1],-0.057254564399802144
<module 'time' (built-in)>,-0.608886647156413,-0.6100173941334465,-0.5966080919684293,-0.5970176669589111,-0.4230647906843361,-0.4343182768952741,-0.795739890079968,-0.296762227337273,-0.3076339041216325,1.7186562318961285,0.3253940277789814,0.0,-0.5970176669589111,-0.6592278480529785,DONT BUY,[0],-0.062210181094067396
<module 'time' (built-in)>,-0.5985802288579807,-0.6069413822784375,-0.5862984936583184,-0.5939400414872945,-0.4519789186939607,-0.461836460134256,-0.9158145820101212,-0.3496960077384105,-0.3572442994065438,1.0028078944276464,0.1480656567363287,0.0,-0.5939400414872945,-0.6490371227264404,DONT BUY,[0],-0.05509708123914592
<module 'time' (built-in)>,-0.5987233735565699,-0.6091947398001302,-0.5898066208610644,-0.596301940105046,-0.5314997663963604,-0.5378238952279627,-0.86778470523806,-0.5406210942691423,-0.5368842837451394,1.3980932597594695,0.1228847434776047,0.0,-0.596301940105046,-0.6384704113006592,DONT BUY,[1],-0.04216847119561318
<module 'time' (built-in)>,-0.5923534344693455,-0.6053318411915151,-0.590271984673674,-0.6025287637336656,-0.5288913786559649,-0.5353250339201899,-0.8917996436240905,-0.5396054965270692,-0.5359227992398491,1.694963131673959,0.1602450419101709,0.0,-0.6025287637336656,-0.6278900504112244,DONT BUY,[1],-0.02536128667755877
<module 'time' (built-in)>,-0.5989738767791019,-0.6119488434377539,-0.588159948908755,-0.6004173695147657,-0.5569946745123172,-0.5621781280922359,-0.987859397168213,-0.5401096509086007,-0.5364091074653611,1.7166293546926952,0.1343531508328373,0.0,-0.6004173695147657,-0.6177206039428711,DONT BUY,[0],-0.01730323442810544
<module 'time' (built-in)>,-0.5938564538045338,-0.6034361594669161,-0.5815732610995188,-0.5904329799033597,-0.2381737395830206,-0.2574257472167939,-0.795739890079968,0.0511832598587381,0.020167307221869,1.53873185236379,0.1136287159632351,0.0,-0.5904329799033597,-0.6081246137619019,DONT BUY,[0],-0.01769163385854211
